date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:37:28	72925/72925	---MCZ	200	added ('OK')	text/html	etag:W/%2261900b1d-11cdd%22	https://acorn-html-classic-dashboard.coloredstrategies.com/Dashboards.Default.html	D:/AdminTemplate/acorn-html-classic-dashboard.coloredstrategies.com/Dashboards.Default.html	(from )
13:37:29	140/140	---MCZ	404	error ('Not%20Found')	text/html	date:Sat,%2023%20Apr%202022%2006:37:29%20GMT	https://acorn-html-classic-dashboard.coloredstrategies.com/robots.txt		(from )
13:37:29	2806/2806	---M--	200	added ('OK')	image/png	etag:%2261900b1d-af6%22	https://acorn-html-classic-dashboard.coloredstrategies.com/img/favicon/apple-touch-icon-57x57.png	D:/AdminTemplate/acorn-html-classic-dashboard.coloredstrategies.com/img/favicon/apple-touch-icon-57x57.png	(from https://acorn-html-classic-dashboard.coloredstrategies.com/Dashboards.Default.html)
13:37:29	8966/8966	---M--	200	added ('OK')	image/png	etag:%2261900b1d-2306%22	https://acorn-html-classic-dashboard.coloredstrategies.com/img/favicon/apple-touch-icon-114x114.png	D:/AdminTemplate/acorn-html-classic-dashboard.coloredstrategies.com/img/favicon/apple-touch-icon-114x114.png	(from https://acorn-html-classic-dashboard.coloredstrategies.com/Dashboards.Default.html)
13:37:30	4096/4096	---M--	200	added ('OK')	image/png	etag:%2261900b1d-1000%22	https://acorn-html-classic-dashboard.coloredstrategies.com/img/favicon/apple-touch-icon-72x72.png	D:/AdminTemplate/acorn-html-classic-dashboard.coloredstrategies.com/img/favicon/apple-touch-icon-72x72.png	(from https://acorn-html-classic-dashboard.coloredstrategies.com/Dashboards.Default.html)
13:37:30	14035/14035	---M--	200	added ('OK')	image/png	etag:%2261900b1d-36d3%22	https://acorn-html-classic-dashboard.coloredstrategies.com/img/favicon/apple-touch-icon-144x144.png	D:/AdminTemplate/acorn-html-classic-dashboard.coloredstrategies.com/img/favicon/apple-touch-icon-144x144.png	(from https://acorn-html-classic-dashboard.coloredstrategies.com/Dashboards.Default.html)
13:37:30	2771/2771	---M--	200	added ('OK')	image/png	etag:%2261900b1d-ad3%22	https://acorn-html-classic-dashboard.coloredstrategies.com/img/favicon/apple-touch-icon-60x60.png	D:/AdminTemplate/acorn-html-classic-dashboard.coloredstrategies.com/img/favicon/apple-touch-icon-60x60.png	(from https://acorn-html-classic-dashboard.coloredstrategies.com/Dashboards.Default.html)
13:37:30	8235/8235	---M--	200	added ('OK')	image/png	etag:%2261900b1d-202b%22	https://acorn-html-classic-dashboard.coloredstrategies.com/img/favicon/apple-touch-icon-120x120.png	D:/AdminTemplate/acorn-html-classic-dashboard.coloredstrategies.com/img/favicon/apple-touch-icon-120x120.png	(from https://acorn-html-classic-dashboard.coloredstrategies.com/Dashboards.Default.html)
13:37:31	4712/4712	---M--	200	added ('OK')	image/png	etag:%2261900b1d-1268%22	https://acorn-html-classic-dashboard.coloredstrategies.com/img/favicon/apple-touch-icon-76x76.png	D:/AdminTemplate/acorn-html-classic-dashboard.coloredstrategies.com/img/favicon/apple-touch-icon-76x76.png	(from https://acorn-html-classic-dashboard.coloredstrategies.com/Dashboards.Default.html)
13:37:31	14876/14876	---M--	200	added ('OK')	image/png	etag:%2261900b1d-3a1c%22	https://acorn-html-classic-dashboard.coloredstrategies.com/img/favicon/apple-touch-icon-152x152.png	D:/AdminTemplate/acorn-html-classic-dashboard.coloredstrategies.com/img/favicon/apple-touch-icon-152x152.png	(from https://acorn-html-classic-dashboard.coloredstrategies.com/Dashboards.Default.html)
13:37:31	24294/24294	---M--	200	added ('OK')	image/png	etag:%2261900b1d-5ee6%22	https://acorn-html-classic-dashboard.coloredstrategies.com/img/favicon/favicon-196x196.png	D:/AdminTemplate/acorn-html-classic-dashboard.coloredstrategies.com/img/favicon/favicon-196x196.png	(from https://acorn-html-classic-dashboard.coloredstrategies.com/Dashboards.Default.html)
13:37:32	6465/6465	---M--	200	added ('OK')	image/png	etag:%2261900b1d-1941%22	https://acorn-html-classic-dashboard.coloredstrategies.com/img/favicon/favicon-96x96.png	D:/AdminTemplate/acorn-html-classic-dashboard.coloredstrategies.com/img/favicon/favicon-96x96.png	(from https://acorn-html-classic-dashboard.coloredstrategies.com/Dashboards.Default.html)
13:37:32	1075/1075	---M--	200	added ('OK')	image/png	etag:%2261900b1d-433%22	https://acorn-html-classic-dashboard.coloredstrategies.com/img/favicon/favicon-32x32.png	D:/AdminTemplate/acorn-html-classic-dashboard.coloredstrategies.com/img/favicon/favicon-32x32.png	(from https://acorn-html-classic-dashboard.coloredstrategies.com/Dashboards.Default.html)
13:37:32	521/521	---M--	200	added ('OK')	image/png	etag:%2261900b1d-209%22	https://acorn-html-classic-dashboard.coloredstrategies.com/img/favicon/favicon-16x16.png	D:/AdminTemplate/acorn-html-classic-dashboard.coloredstrategies.com/img/favicon/favicon-16x16.png	(from https://acorn-html-classic-dashboard.coloredstrategies.com/Dashboards.Default.html)
13:37:32	6784/6784	---M--	200	added ('OK')	image/png	etag:%2261900b1d-1a80%22	https://acorn-html-classic-dashboard.coloredstrategies.com/img/favicon/favicon-128.png	D:/AdminTemplate/acorn-html-classic-dashboard.coloredstrategies.com/img/favicon/favicon-128.png	(from https://acorn-html-classic-dashboard.coloredstrategies.com/Dashboards.Default.html)
13:37:33	14035/14035	---M--	200	added ('OK')	image/png	etag:%2261900b1d-36d3%22	https://acorn-html-classic-dashboard.coloredstrategies.com/img/favicon/mstile-144x144.png	D:/AdminTemplate/acorn-html-classic-dashboard.coloredstrategies.com/img/favicon/mstile-144x144.png	(from https://acorn-html-classic-dashboard.coloredstrategies.com/Dashboards.Default.html)
13:37:33	6784/6784	---M--	200	added ('OK')	image/png	etag:%2261900b1d-1a80%22	https://acorn-html-classic-dashboard.coloredstrategies.com/img/favicon/mstile-70x70.png	D:/AdminTemplate/acorn-html-classic-dashboard.coloredstrategies.com/img/favicon/mstile-70x70.png	(from https://acorn-html-classic-dashboard.coloredstrategies.com/Dashboards.Default.html)
13:37:34	33253/33253	---M--	200	added ('OK')	image/png	etag:%2261900b1d-81e5%22	https://acorn-html-classic-dashboard.coloredstrategies.com/img/favicon/mstile-150x150.png	D:/AdminTemplate/acorn-html-classic-dashboard.coloredstrategies.com/img/favicon/mstile-150x150.png	(from https://acorn-html-classic-dashboard.coloredstrategies.com/Dashboards.Default.html)
13:37:34	24568/24568	---M--	200	added ('OK')	image/png	etag:%2261900b1d-5ff8%22	https://acorn-html-classic-dashboard.coloredstrategies.com/img/favicon/mstile-310x150.png	D:/AdminTemplate/acorn-html-classic-dashboard.coloredstrategies.com/img/favicon/mstile-310x150.png	(from https://acorn-html-classic-dashboard.coloredstrategies.com/Dashboards.Default.html)
13:37:34	49145/49145	---M--	200	added ('OK')	image/png	etag:%2261900b1d-bff9%22	https://acorn-html-classic-dashboard.coloredstrategies.com/img/favicon/mstile-310x310.png	D:/AdminTemplate/acorn-html-classic-dashboard.coloredstrategies.com/img/favicon/mstile-310x310.png	(from https://acorn-html-classic-dashboard.coloredstrategies.com/Dashboards.Default.html)
13:37:34	2297/2297	---MCZ	200	added ('OK')	text/css	etag:W/%2261900b1d-8f9%22	https://acorn-html-classic-dashboard.coloredstrategies.com/font/CS-Interface/style.css	D:/AdminTemplate/acorn-html-classic-dashboard.coloredstrategies.com/font/CS-Interface/style.css	(from https://acorn-html-classic-dashboard.coloredstrategies.com/Dashboards.Default.html)
13:37:35	216694/216694	---MCZ	200	added ('OK')	text/css	etag:W/%2261900b1d-34e76%22	https://acorn-html-classic-dashboard.coloredstrategies.com/css/vendor/bootstrap.min.css	D:/AdminTemplate/acorn-html-classic-dashboard.coloredstrategies.com/css/vendor/bootstrap.min.css	(from https://acorn-html-classic-dashboard.coloredstrategies.com/Dashboards.Default.html)
13:37:35	20009/20009	---MCZ	200	added ('OK')	text/css	etag:W/%2261900b1d-4e29%22	https://acorn-html-classic-dashboard.coloredstrategies.com/css/vendor/OverlayScrollbars.min.css	D:/AdminTemplate/acorn-html-classic-dashboard.coloredstrategies.com/css/vendor/OverlayScrollbars.min.css	(from https://acorn-html-classic-dashboard.coloredstrategies.com/Dashboards.Default.html)
13:37:35	788/788	---MCZ	200	added ('OK')	text/css	etag:W/%2261900b1d-314%22	https://acorn-html-classic-dashboard.coloredstrategies.com/css/vendor/glide.core.min.css	D:/AdminTemplate/acorn-html-classic-dashboard.coloredstrategies.com/css/vendor/glide.core.min.css	(from https://acorn-html-classic-dashboard.coloredstrategies.com/Dashboards.Default.html)
13:37:36	7966/7966	---MCZ	200	added ('OK')	text/css	etag:W/%2261900b1d-1f1e%22	https://acorn-html-classic-dashboard.coloredstrategies.com/css/vendor/introjs.min.css	D:/AdminTemplate/acorn-html-classic-dashboard.coloredstrategies.com/css/vendor/introjs.min.css	(from https://acorn-html-classic-dashboard.coloredstrategies.com/Dashboards.Default.html)
13:37:36	15823/15823	---MCZ	200	added ('OK')	text/css	etag:W/%2261900b1d-3dcf%22	https://acorn-html-classic-dashboard.coloredstrategies.com/css/vendor/select2.min.css	D:/AdminTemplate/acorn-html-classic-dashboard.coloredstrategies.com/css/vendor/select2.min.css	(from https://acorn-html-classic-dashboard.coloredstrategies.com/Dashboards.Default.html)
